noise,alpha,labelling,seed,balanced_accuracy,macro_f1,pr_auc
red,3.142,signed,7,0.5571376011773362,0.30804067714231054,
red,3.142,binary,8,0.5482822410147992,0.3202247191011236,0.2455441056889985
red,3.142,signed,8,0.3278778158489466,0.28376362593230064,
red,3.142,binary,9,0.5279479679802955,0.3875432525951557,0.2781546235469578
red,3.142,signed,9,0.5048780251672044,0.3388024286846267,
blue,1.0,binary,0,0.5903752338946806,0.3985102420856611,0.5844097657869363
blue,1.0,signed,0,0.5944536785054026,0.3941384628318536,
blue,1.0,binary,1,0.7065367288774478,0.5333333333333333,0.6707954959812865
blue,1.0,signed,1,0.7133602059192955,0.5632708454506138,
blue,1.0,binary,2,0.6637852822580645,0.4587628865979381,0.5694436073051717
blue,1.0,signed,2,0.595673323092678,0.49276486114798573,
blue,1.0,binary,3,0.565793979169639,0.44939965694682676,0.642524474471561
blue,1.0,signed,3,0.5547504837666809,0.40488004258280036,
blue,1.0,binary,4,0.6075956016248774,0.38990825688073394,0.5725667545654177
blue,1.0,signed,4,0.5430563149261892,0.44209906717681813,
blue,1.0,binary,5,0.6660771816781061,0.44285714285714284,0.5476129314784195
blue,1.0,signed,5,0.6632220933519166,0.5019138203584306,
blue,1.0,binary,6,0.6244061757719714,0.50390625,0.6170194471624453
blue,1.0,signed,6,0.5829489052683704,0.48449161191277207,
blue,1.0,binary,7,0.6365263323872595,0.4560669456066946,0.5903706879780395
blue,1.0,signed,7,0.6564937454010302,0.4970031354046551,
blue,1.0,binary,8,0.5213794926004228,0.3361629881154499,0.3488247316823933
blue,1.0,signed,8,0.5084409817187839,0.30286553002243194,
blue,1.0,binary,9,0.7020551108374384,0.5308056872037915,0.6313908312672072
blue,1.0,signed,9,0.6594109922001713,0.5501026352126458,
blue,2.0,binary,0,0.5843440924886394,0.3940520446096654,0.47434022982752816
blue,2.0,signed,0,0.5628803667596771,0.37801386037732243,
blue,2.0,binary,1,0.6153810793417303,0.45136186770428016,0.5090109308285021
blue,2.0,signed,1,0.5932462311219241,0.44756774751152567,
